TargetCompanyKvk;Value;SchemeDescription;Dataset;Scheme;StartTimestamp;EndTimestamp;ActiveTimestamp;InactiveTimestamp;Trustlevel
70573417;101037;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:20;;2
57559848;101067;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:23;;2
60350911;101563;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:38;;2
60350911;101564;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:38;;2
12066039;101649;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:39;;2
12066039;101650;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:39;;2
12066039;101651;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:39;;2
73637556;101657;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:44;;2
73637556;101658;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:44;;2
14128049;103213;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:44;;2
14128049;103215;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:45;;2
56160887;103219;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:46;;2
30283567;113461;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:47;;2
78456517;114134;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:49;;2
81267193;114635;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:49;;2
80728111;114653;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:50;;2
76686329;115226;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:50;;2
14106062;116412;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:50;;2
55427405;116671;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:51;;2
55427405;116673;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:51;;2
83666303;116986;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:51;;2
61260053;117064;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:52;;2
78653347;117069;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:53;;2
12066039;117101;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:53;;2
76558452;117346;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:53;;2
85448923;117484;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:53;;2
72672900;117774;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:54;;2
81525958;117843;Klantnummer Vitelia;Commercial;custom;;;28-9-2022 07:54;;2
53140281;101379;Klantnr;Commercial;custom;;;22-12-2021 12:59;;2
82407215;116419;Klantnummer Vitelia;Commercial;custom;;;28-4-2023 11:04;;2
85448923;117480;Klantnummer Vitelia;Commercial;custom;;;1-5-2023 09:28;;2
82597278;115945;Klantnummer Vitelia;Commercial;custom;;;17-1-2022 11:28;;2
82784175;115983;Klantnummer;Commercial;custom;;;4-6-2021 11:49;;2
14119686;115400;Klantnummer;Commercial;custom;;;10-6-2021 07:02;;2
17157887;117755;;Commercial;custom;;;8-11-2023 11:31;;2
89267281;118206;Klantnummer Vitelia;Commercial;custom;;;16-2-2023 11:23;;1
88155560;101366;;Commercial;custom;;;30-7-2020 14:11;;1
